action_type,control_signal_ankle,control_signal_knee,domainindex,force_heel,force_toe,imu_position_ankle,imu_position_knee,imu_velocity_ankle,imu_velocity_knee,ishumanswing,position_actual_ankle,position_actual_knee,position_desired_ankle,position_desired_knee,tau,time_stance,time_swing,torque_actual_ankle,torque_actual_knee,torque_desired_ankle,torque_desired_knee,torque_imped_ankle,torque_imped_knee,torque_pd_ankle,torque_pd_knee,torque_qp_ankle,torque_qp_knee,vahid_kdR_ns,vahid_knee_torque,vahid_lambdaR_ns,vahid_xhip_actual,vahid_xhip_desired,vahid_zhip_actual,vahid_zhip_desired,velocity_actual_ankle,velocity_actual_knee,velocity_desired_ankle,velocity_desired_knee
1,1.58468270302,-0.95947599411,0,0,0,0,0,0,0,1,-0.15054486692,0.416450202465,0,0.372698098421,0.183961495757,0,0,10.5202999115,-4.30919981003,10.5381402969,-4.37521028519,0,0,10.5381402969,-4.37521028519,0,0,20,0,10,-0.0540002286434,-0.0550481900573,0.811816453934,0.815361917019,0,0,0,0
1,1.58468270302,-0.95947599411,0,0,0,0,0,0,0,1,-0.15054486692,0.416450202465,0,0.372698098421,0.183961495757,0,0,10.5202999115,-4.37303972244,10.5381402969,-4.37521028519,0,0,10.5381402969,-4.37521028519,0,0,20,0,10,-0.0540002286434,-0.0550481900573,0.811816453934,0.815361917019,0,0,0,0
1,1.58463025093,-0.959482550621,0,0,0,0,0,0,0,1,-0.150542676449,0.416450202465,0,0.372697800398,0.183959215879,0,0,10.4737501144,-4.40496015549,10.5377902985,-4.37524032593,0,0,10.5377902985,-4.37524032593,0,0,20,0,10,-0.0540021210909,-0.0550500005484,0.811816334724,0.81536179781,1.97226090677E-05,0,0,0
1,1.58463025093,-0.959482550621,0,0,0,0,0,0,0,1,-0.150542676449,0.416450202465,0,0.372697800398,0.183959215879,0,0,10.5202999115,-4.40496015549,10.5377902985,-4.37524032593,0,0,10.5377902985,-4.37524032593,0,0,20,0,10,-0.0540021210909,-0.0550500005484,0.811816334724,0.81536179781,1.97226090677E-05,0,0,0
1,1.58462691307,-0.959482550621,0,0,0,0,0,0,0,1,-0.150542676449,0.416450202465,0,0.372697800398,0.183959215879,0,0,10.5202999115,-4.40496015549,10.537768364,-4.37524032593,0,0,10.537768364,-4.37524032593,0,0,20,0,10,-0.0540021210909,-0.0550500005484,0.811816334724,0.81536179781,2.19140092668E-05,0,0,0
1,1.58462691307,-0.959482550621,0,0,0,0,0,0,0,1,-0.150542676449,0.416450202465,0,0.372697800398,0.183959215879,0,0,10.5202999115,-4.34111976624,10.537768364,-4.37524032593,0,0,10.537768364,-4.37524032593,0,0,20,0,10,-0.0540021210909,-0.0550500005484,0.811816334724,0.81536179781,2.19140092668E-05,0,0,0
1,1.58463025093,-0.959482550621,0,0,0,0,0,0,0,1,-0.150542676449,0.416450202465,0,0.372697800398,0.183959215879,0,0,10.5202999115,-4.40496015549,10.5377902985,-4.37524032593,0,0,10.5377902985,-4.37524032593,0,0,20,0,10,-0.0540021210909,-0.0550500005484,0.811816334724,0.81536179781,1.97226090677E-05,0,0,0
1,1.58462691307,-0.959482550621,0,0,0,0,0,0,0,1,-0.150542676449,0.416450202465,0,0.372697800398,0.183959215879,0,0,10.6133995056,-4.40496015549,10.537768364,-4.37524032593,0,0,10.537768364,-4.37524032593,0,0,20,0,10,-0.0540021210909,-0.0550500005484,0.811816334724,0.81536179781,2.19140092668E-05,0,0,0
1,1.58462691307,-0.959482550621,0,0,0,0,0,0,0,1,-0.150542676449,0.416450202465,0,0.372697800398,0.183959215879,0,0,10.5668497086,-4.37303972244,10.537768364,-4.37524032593,0,0,10.537768364,-4.37524032593,0,0,20,0,10,-0.0540021210909,-0.0550500005484,0.811816334724,0.81536179781,2.19140092668E-05,0,0,0
1,1.58463025093,-0.959482550621,0,0,0,0,0,0,0,1,-0.150542676449,0.416450202465,0,0.372697800398,0.183959215879,0,0,10.5202999115,-4.27727985382,10.5377902985,-4.37524032593,0,0,10.5377902985,-4.37524032593,0,0,20,0,10,-0.0540021210909,-0.0550500005484,0.811816334724,0.81536179781,1.97226090677E-05,0,0,0
1,1.58463025093,-0.959482550621,0,0,0,0,0,0,0,1,-0.150542676449,0.416450202465,0,0.372697800398,0.183959215879,0,0,10.5202999115,-4.40496015549,10.5377902985,-4.37524032593,0,0,10.5377902985,-4.37524032593,0,0,20,0,10,-0.0540021210909,-0.0550500005484,0.811816334724,0.81536179781,1.97226090677E-05,0,0,0
1,1.58462691307,-0.959482550621,0,0,0,0,0,0,0,1,-0.150542676449,0.416450202465,0,0.372697800398,0.183959215879,0,0,10.5202999115,-4.34111976624,10.537768364,-4.37524032593,0,0,10.537768364,-4.37524032593,0,0,20,0,10,-0.0540021210909,-0.0550500005484,0.811816334724,0.81536179781,2.19140092668E-05,0,0,0
1,1.58463025093,-0.959482550621,0,0,0,0,0,0,0,1,-0.150542676449,0.416450202465,0,0.372697800398,0.183959215879,0,0,10.4271993637,-4.46879959106,10.5377902985,-4.37524032593,0,0,10.5377902985,-4.37524032593,0,0,20,0,10,-0.0540021210909,-0.0550500005484,0.811816334724,0.81536179781,1.97226090677E-05,0,0,0
1,1.58462691307,-0.959482550621,0,0,0,0,0,0,0,1,-0.150542676449,0.416450202465,0,0.372697800398,0.183959215879,0,0,10.5668497086,-4.40496015549,10.537768364,-4.37524032593,0,0,10.537768364,-4.37524032593,0,0,20,0,10,-0.0540021210909,-0.0550500005484,0.811816334724,0.81536179781,2.19140092668E-05,0,0,0
1,1.58462691307,-0.959482550621,0,0,0,0,0,0,0,1,-0.150542676449,0.416450202465,0,0.372697800398,0.183959215879,0,0,10.5202999115,-4.34111976624,10.537768364,-4.37524032593,0,0,10.537768364,-4.37524032593,0,0,20,0,10,-0.0540021210909,-0.0550500005484,0.811816334724,0.81536179781,2.19140092668E-05,0,0,0
1,1.58463025093,-0.959482550621,0,0,0,0,0,0,0,1,-0.150542676449,0.416450202465,0,0.372697800398,0.183959215879,0,0,10.5668497086,-4.40496015549,10.5377902985,-4.37524032593,0,0,10.5377902985,-4.37524032593,0,0,20,0,10,-0.0540021210909,-0.0550500005484,0.811816334724,0.81536179781,1.97226090677E-05,0,0,0
1,1.58462691307,-0.959482550621,0,0,0,0,0,0,0,1,-0.150542676449,0.416450202465,0,0.372697800398,0.183959215879,0,0,10.5202999115,-4.40496015549,10.537768364,-4.37524032593,0,0,10.537768364,-4.37524032593,0,0,20,0,10,-0.0540021210909,-0.0550500005484,0.811816334724,0.81536179781,2.19140092668E-05,0,0,0
1,1.58462691307,-0.959482550621,0,0,0,0,0,0,0,1,-0.150542676449,0.416450202465,0,0.372697800398,0.183959215879,0,0,10.4271993637,-4.40496015549,10.537768364,-4.37524032593,0,0,10.537768364,-4.37524032593,0,0,20,0,10,-0.0540021210909,-0.0550500005484,0.811816334724,0.81536179781,2.19140092668E-05,0,0,0
1,1.58463025093,-0.959482550621,0,0,0,0,0,0,0,1,-0.150542676449,0.416450202465,0,0.372697800398,0.183959215879,0,0,10.5202999115,-4.37303972244,10.5377902985,-4.37524032593,0,0,10.5377902985,-4.37524032593,0,0,20,0,10,-0.0540021210909,-0.0550500005484,0.811816334724,0.81536179781,1.97226090677E-05,0,0,0
1,1.58462691307,-0.959482550621,0,0,0,0,0,0,0,1,-0.150542676449,0.416450202465,0,0.372697800398,0.183959215879,0,0,10.5668497086,-4.37303972244,10.537768364,-4.37524032593,0,0,10.537768364,-4.37524032593,0,0,20,0,10,-0.0540021210909,-0.0550500005484,0.811816334724,0.81536179781,2.19140092668E-05,0,0,0
